task,null_mass,null_positive,deadlock
contradiction,0.9999999999999999,1,1
arithmetic,0.027326861359205465,1,0
syllogism,0.0028843012557109643,1,0
arithmetic,0.006994510951310106,1,0
syllogism,0.0012642172531876095,1,0
syllogism,0.002921783588529878,1,0
arithmetic,0.06391025823710324,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.012624602118748062,1,0
syllogism,0.0033316817192227924,1,0
arithmetic,0.1678867141553348,1,0
syllogism,0.0018202185336881323,1,0
syllogism,0.01124110464841416,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.13593015202039405,1,0
arithmetic,0.007315115335988754,1,0
arithmetic,0.19159718111412025,1,0
arithmetic,0.04506546838783502,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.02254071844832006,1,0
syllogism,0.008791000201883614,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.002082885913468339,1,0
syllogism,0.00256261831695158,1,0
contradiction,1.0,1,1
contradiction,1.0,1,1
arithmetic,0.0226938594438132,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999998,1,1
arithmetic,0.014282701647554541,1,0
syllogism,0.002905026768845882,1,0
syllogism,0.010113588076775225,1,0
arithmetic,0.07238424093268873,1,0
syllogism,0.0014134414127299955,1,0
syllogism,0.0010496572967900446,1,0
syllogism,0.0024291497959176246,1,0
arithmetic,0.04796099213748671,1,0
arithmetic,0.030601982317821966,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.03553708075662375,1,0
contradiction,1.0,1,1
arithmetic,0.030049977775397526,1,0
contradiction,1.0,1,1
syllogism,0.0024019563090500943,1,0
contradiction,0.9999999999999998,1,1
arithmetic,0.016585144958626504,1,0
arithmetic,0.006842557998543122,1,0
syllogism,0.0017957666129071825,1,0
syllogism,0.0028847581426162485,1,0
arithmetic,0.11785246676507623,1,0
arithmetic,0.011353635866867183,1,0
syllogism,0.0013176326735085955,1,0
contradiction,1.0,1,1
syllogism,0.003985045739192867,1,0
contradiction,0.9999999999999999,1,1
contradiction,1.0000000000000002,1,1
arithmetic,0.024723496540389436,1,0
arithmetic,0.07450462188179031,1,0
arithmetic,0.03222704574312734,1,0
contradiction,0.9999999999999998,1,1
syllogism,0.002414743626991052,1,0
contradiction,1.0,1,1
contradiction,0.9999999999999999,1,1
